Flight No.,Date and Time (UTC),Payload,Payload Mass,Orbit,Customer,Launch Outcome,Booster Landing,Launch Sites,"Versions, Boosters"
1,"4 June 2010,18:45",Dragon Spacecraft Qualification Unit,No payload (excl. Dragon Mass),LEO,SpaceX,Success,Failure[4][5](parachute),"CCSFS,SLC-40 ",F9 v1.0[2] B0003[3] 
2,"8 December 2010,15:43[8]",SpaceX COTS Demo Flight 1(Dragon C101),Unknown (excl. Dragon Mass),LEO (ISS),".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} NASA (COTS) various others[9]",Success[4],Failure[4][10](parachute),"CCSFS,SLC-40 ",F9 v1.0[2] B0004[3] 
3,"22 May 2012,07:44[13]",SpaceX COTS Demo Flight 2[14](Dragon C102),"525 kg (1,157 lb)[15] (excl. Dragon mass)",LEO (ISS),NASA (COTS),Success[16],No attempt,"CCSFS,SLC-40 ",F9 v1.0[2] B0005[3] 
4,"8 October 2012,00:35[17]",SpaceX CRS-1[18](Dragon C103),"4,700 kg (10,400 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt,"CCSFS,SLC-40 ",F9 v1.0[2] B0006[3] 
5,"1 March 2013,15:10",SpaceX CRS-2[18](Dragon C104),"4,877 kg (10,752 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,No attempt,"CCSFS,SLC-40 ",F9 v1.0[2] B0007[3] 
6,"29 September 2013,16:00[26]",CASSIOPE[18][27],"500 kg (1,100 lb)",Polar orbit LEO,MDA,Success[26],Uncontrolled(ocean)[c],"VSFB,SLC-4E ",F9 v1.1[2] B1003[3] 
7,"3 December 2013,22:41[30]",SES-8[18][31][32],"3,170 kg (6,990 lb)",GTO,SES,Success[33],No attempt[34],"CCSFS,SLC-40 ",F9 v1.1 B1004 
8,"6 January 2014,22:06[37]",Thaicom 6[18],"3,325 kg (7,330 lb)",GTO,Thaicom,Success[38],No attempt[39],"CCSFS,SLC-40 ", F9 v1.1
9,"18 April 2014,19:25[17]",SpaceX CRS-3[18](Dragon C105),"2,296 kg (5,062 lb)[41] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Controlled(ocean) [c][42],"CCSFS,SLC-40 ", F9 v1.1
10,"14 July 2014,15:15",Orbcomm-OG2-1(6 satellites)[18],"1,316 kg (2,901 lb)",LEO,Orbcomm,Success[47],Controlled(ocean)[c][42],"CCSFS,SLC-40 ", F9 v1.1
11,"5 August 2014,08:00",AsiaSat 8[18][50][51],"4,535 kg (9,998 lb)",GTO,AsiaSat,Success[52],No attempt[53],"CCSFS,SLC-40 ", F9 v1.1
12,"7 September 2014,05:00",AsiaSat 6[18][50][54],"4,428 kg (9,762 lb)",GTO,AsiaSat,Success[55],No attempt,"CCSFS,SLC-40 ", F9 v1.1 B1011[3]
13,"21 September 2014,05:52[17]",SpaceX CRS-4[18](Dragon C106.1),"2,216 kg (4,885 lb)[58] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success[59],Uncontrolled(ocean)[c][60],"CCSFS,SLC-40 ", F9 v1.1 B1010[3]
14,"10 January 2015,09:47[63]",SpaceX CRS-5[64](Dragon C107),"2,395 kg (5,280 lb)[65] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success[66],Failure (drone ship),"CCSFS,SLC-40 ", F9 v1.1 B1012[3]
15,"11 February 2015,23:03[68]",DSCOVR[64][69],"570 kg (1,260 lb)",Sun–Earth L1 insertion,USAF NASA NOAA,Success,Controlled(ocean)[c],"CCSFS,SLC-40 ", F9 v1.1 B1013[3]
16,"2 March 2015,03:50[17][73]",ABS-3A Eutelsat 115 West B[64],"4,159 kg (9,169 lb)",GTO,ABS Eutelsat,Success,No attempt[74],"CCSFS,SLC-40 ", F9 v1.1 B1014[3]
17,"14 April 2015,20:10[17]",SpaceX CRS-6[64](Dragon C108.1),"1,898 kg (4,184 lb)[79] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Failure[80](drone ship),"CCSFS,SLC-40 ", F9 v1.1 B1015[3]
18,"27 April 2015,23:03[83]",TürkmenÄlem 52°E / MonacoSAT[64][84],"4,707 kg (10,377 lb)",GTO,Turkmenistan NationalSpace Agency[85],Success,No attempt[86],"CCSFS,SLC-40 ", F9 v1.1 B1016[3]
19,"28 June 2015,14:21[17][88]",SpaceX CRS-7[64](Dragon C109),"1,952 kg (4,303 lb)[89] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Failure[90](in flight),Precluded[91](drone ship),"CCSFS,SLC-40 ", F9 v1.1 B1018[3]
20,"22 December 2015,01:29[94]",Orbcomm-OG2-2(11 satellites)[18][94],"2,034 kg (4,484 lb)",LEO,Orbcomm,Success,Success[96](ground pad),"CCSFS,SLC-40 ", F9 FT B1019[95]
21,"17 January 2016,18:42[17]",Jason-3[64][101],"553 kg (1,219 lb)",LEO,NASA (LSP) NOAA CNES,Success,Failure(drone ship),"VSFB,SLC-4E ", F9 v1.1 B1017[3]
22,"4 March 2016,23:35[17]",SES-9[64][106][107],"5,271 kg (11,621 lb)",GTO,SES,Success,Failure(drone ship),"CCSFS,SLC-40 ", F9 FT B1020[105]
23,"8 April 2016,20:43[17]",SpaceX CRS-8[64][107](Dragon C110.1),"3,136 kg (6,914 lb)[113] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success[114],Success[115](drone ship),"CCSFS,SLC-40 ", F9 FT B1021.1[112]
24,"6 May 2016,05:21[17]",JCSAT-14[120],"4,696 kg (10,353 lb)[121]",GTO,SKY Perfect JSAT Group,Success,Success(drone ship),"CCSFS,SLC-40 ", F9 FT B1022[119]
25,"27 May 2016,21:39[125]",Thaicom 8[127][128],"3,100 kg (6,800 lb)[129]",GTO,Thaicom,Success,Success[130](drone ship),"CCSFS,SLC-40 ", F9 FT B1023.1[126]
26,"15 June 2016,14:29[17]",ABS-2A Eutelsat 117 West B[64],"3,600 kg (7,900 lb)",GTO,ABS Eutelsat,Success,Failure[60](drone ship),"CCSFS,SLC-40 ", F9 FT B1024[105]
27,"18 July 2016,04:45[17]",SpaceX CRS-9[64][138](Dragon C111.1),"2,257 kg (4,976 lb)[139] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),"CCSFS,SLC-40 ", F9 FT B1025.1[126]
28,"14 August 2016,05:26",JCSAT-16,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,Success,Success(drone ship),"CCSFS,SLC-40 ", F9 FT B1026[105]
N/A [d],"3 September 2016,07:00[142]",AMOS-6[143],"5,500 kg (12,100 lb)",GTO,Spacecom,Precluded(failure pre-flight),Precluded(drone ship),"CCSFS,SLC-40 ", F9 FT B1028[105]
29,"14 January 2017,17:54",Iridium NEXT-1(10 satellites)[149][150],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success[151](drone ship),"VSFB,SLC-4E ", F9 FT B1029.1[148]
30,"19 February 2017,14:39",SpaceX CRS-10[138](Dragon C112.1),"2,490 kg (5,490 lb)[157] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),"KSC,LC-39A ", F9 FT B1031.1[3]
31,"16 March 2017,06:00",EchoStar 23,"5,600 kg (12,300 lb)[161]",GTO,EchoStar,Success,No attempt[162],"KSC,LC-39A ", F9 FT B1030[160]
32,"30 March 2017,22:27",SES-10[106][165],"5,300 kg (11,700 lb)[166]",GTO,SES,Success[167],Success(drone ship),"KSC,LC-39A ", F9 FT ♺B1021.2[112]
33,"1 May 2017,11:15",NROL-76[171],Classified,LEO[172],NRO,Success,Success(ground pad),"KSC,LC-39A ", F9 FT B1032.1[126]
34,"15 May 2017,23:21",Inmarsat-5 F4[177],"6,070 kg (13,380 lb)[178]",GTO,Inmarsat,Success,No attempt[162],"KSC,LC-39A ", F9 FT B1034.1[176]
35,"3 June 2017,21:07",SpaceX CRS-11[138](Dragon C106.2 ♺ ),"2,708 kg (5,970 lb)[183] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),"KSC,LC-39A ", F9 FT B1035.1[182]
36,"23 June 2017,19:10",BulgariaSat-1[193],"3,669 kg (8,089 lb)[194]",GTO,Bulsatcom,Success,Success(drone ship),"KSC,LC-39A ", F9 FT ♺ B1029.2[192]
37,"25 June 2017,20:25",Iridium NEXT-2(10 satellites),"9,600 kg (21,200 lb)",LEO,Iridium Communications,Success,Success(drone ship),"VSFB,SLC-4E ", F9 FT B1036.1[195]
38,"5 July 2017,23:38",Intelsat 35e[198],"6,761 kg (14,905 lb)[199]",GTO,Intelsat,Success,No attempt[162],"KSC,LC-39A ", F9 FT B1037.1[197]
39,"14 August 2017,16:31",SpaceX CRS-12[138](Dragon C113.1),"3,310 kg (7,300 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),"KSC,LC-39A ", F9 B4 B1039.1[204]
40,"24 August 2017,18:51",Formosat-5[207][208],"475 kg (1,047 lb)[209]",SSO,NSPO,Success,Success(drone ship),"VSFB,SLC-4E ", F9 FT B1038.1[206]
41,"7 September 2017,14:00[212]",Boeing X-37B OTV-5,"4,990 kg (11,000 lb)[213]+ OTV payload",LEO,USAF,Success,Success(ground pad),"KSC,LC-39A ", F9 B4 B1040.1[105]
42,"9 October 2017,12:37",Iridium NEXT-3(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success(drone ship),"VSFB,SLC-4E ", F9 B4 B1041.1[216]
43,"11 October 2017,22:53:00",SES-11 / EchoStar 105,"5,400 kg (11,900 lb)[218][219]",GTO,SES S.A. EchoStar,Success,Success(drone ship),"KSC,LC-39A ", F9 FT ♺ B1031.2[217]
44,"30 October 2017,19:34",Koreasat 5A[221],"3,500 kg (7,700 lb)",GTO,KT Corporation,Success,Success(drone ship),"KSC,LC-39A ", F9 B4 B1042.1[216]
45,"15 December 2017,15:36[225]",SpaceX CRS-13[138](Dragon C108.2 ♺ ),"2,205 kg (4,861 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),"CCSFS,SLC-40 ", F9 FT ♺ B1035.2[226]
46,"23 December 2017,01:27[228]",Iridium NEXT-4(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success[229],Controlled(ocean)[c][229],"VSFB,SLC-4E ", F9 FT ♺ B1036.2[226]
47,"8 January 2018,01:00[235]",Zuma[236],Classified,LEO,Northrop Grumman [e],Success[237],Success(ground pad),"CCSFS,SLC-40 ", F9 B4 B1043.1
48,"31 January 2018,21:25[240]",GovSat-1 (SES-16)[242],"4,230 kg (9,330 lb)[243]",GTO,SES,Success[244],Controlled(ocean)[c][244],"CCSFS,SLC-40 ", F9 FT ♺ B1032.2[241]
FH 1,"6 February 2018,20:45[248]",Elon Musk's Tesla Roadster[249][250],"~1,250 kg (2,760 lb)[251]",Heliocentric0.99–1.67 AU[251](close to Mars transfer orbit),SpaceX,Success[252],Failure[252](drone ship),"KSC,LC-39A ", Falcon Heavy B1033.1 (core)[126]
49,"22 February 2018,14:17[262]",Paz[264] Tintin A and Tintin B[265],"2,150 kg (4,740 lb)",SSO,Hisdesat exactEarth SpaceX,Success[266],No attempt[266],"VSFB,SLC-4E ", F9 FT ♺ B1038.2[263]
