Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,173.042435,173.042435,155.268692,161.515854,141.449173,10001085
2006-12-04,162.023666,170.512909,162.023666,169.085266,148.078171,18491096
2006-12-05,170.167969,170.867416,167.293518,169.209824,148.187225,6699838
2006-12-06,167.121048,170.167969,165.568832,168.912796,147.927109,4822862
2006-12-07,168.634933,171.701019,167.322250,171.068634,149.815109,3963218
2006-12-08,170.551239,171.317749,165.425110,166.105408,145.468521,5872840
2006-12-11,166.680298,166.680298,156.178940,160.864304,140.878540,6394422
2006-12-12,160.778076,163.077637,144.681107,157.184998,137.656342,11916839
2006-12-13,159.360001,163.844162,153.620667,161.180496,141.155457,6957223
2006-12-14,161.448776,164.610687,160.222351,162.588974,142.388962,4875056
2006-12-15,164.361572,165.942520,163.489639,164.466965,144.033600,4003144
2006-12-18,165.013107,171.509384,159.292938,171.068634,149.815109,10275295
2006-12-19,171.011139,171.662689,162.521912,165.070602,144.562256,7600284
2006-12-20,165.377213,168.816971,158.737213,160.289413,140.375092,10803050
2006-12-21,160.011551,166.526993,160.011551,165.626328,145.048950,4890273
2006-12-22,162.244049,165.750885,162.244049,164.821472,144.344086,2948234
2006-12-26,166.699463,170.838684,163.269272,169.506851,148.447357,5127072
2006-12-27,169.784714,174.939575,167.724686,173.761047,152.173004,8199676
2006-12-28,174.383850,177.248718,171.701019,173.052017,151.552078,9620655
2006-12-29,174.383850,175.092880,170.560822,172.582520,151.140900,4262471
2007-01-02,172.869965,178.982986,171.538132,178.120636,155.990967,4397705
2007-01-03,179.136292,184.348633,179.136292,179.797409,157.459427,12146833
2007-01-04,187.797989,189.407684,180.324387,181.493347,158.944626,9239625
2007-01-05,182.049072,183.007217,178.091904,179.634521,157.316772,7578079
2007-01-08,179.174606,180.860962,172.467545,177.929016,155.823151,8149058
2007-01-09,178.024826,178.982986,172.850800,174.594635,152.903046,6023636
2007-01-10,174.173050,176.108521,171.538132,174.086823,152.458298,8956607
2007-01-11,174.383850,176.683411,172.860382,175.983963,154.119751,6246930
2007-01-12,176.491776,181.071747,175.016220,180.362717,157.954514,8533762
2007-01-15,182.001160,182.470657,178.829681,181.761627,159.179596,4991739
2007-01-16,182.049072,184.233658,181.205887,183.495880,160.698410,4501937
2007-01-17,184.808548,186.744019,181.474182,184.875626,161.906723,6234427
2007-01-18,186.839828,186.839828,180.611832,182.901825,160.178146,4936132
2007-01-19,183.562958,184.866043,178.216461,182.183212,159.548798,7486262
2007-01-22,183.007217,185.670883,180.180664,184.597763,161.663361,9403581
2007-01-23,184.923523,185.843353,181.090912,182.135300,159.506851,3187439
2007-01-24,183.007217,183.735413,173.732300,175.543213,153.733749,10491951
