TowerID,Location,Operator,Band,Traffic,Uptime,Faults,Faults_Class,Uptime_Class,Traffic_per_Fault,Downtime,Fault_Severity_Index,Log_Traffic,Log_Downtime,Log_Traffic_per_Fault,Uptime_Traffic,Traffic_per_Downtime,Traffic_Squared,Uptime_Squared,Traffic_Bin,Uptime_Bin
1,West,Operator2,800 MHz,72.53,94.71,2,High,Low Uptime,36.265,5.290000000000006,3.645000000000003,4.29769348620813,1.83896107071235,3.618054548333657,6869.3162999999995,13.710775047258963,5260.6009,8969.9841,Low,Medium
2,North,Operator2,800 MHz,77.58,93.61,2,High,Low Uptime,38.79,6.390000000000001,4.195,4.364117214130314,2.0001277349601105,3.683615624438837,7262.2638,12.140845070422534,6018.6564,8762.8321,Low,Medium
3,Central,Operator3,2100 MHz,96.94,94.29,1,Low,Low Uptime,96.94,5.709999999999994,3.354999999999997,4.584355046274171,1.9035989509835893,4.584355046274171,9140.472600000001,16.97723292469354,9397.363599999999,8890.6041,Medium,Medium
4,Central,Operator3,1800 MHz,101.87,98.55,2,High,High Uptime,50.935,1.4500000000000028,1.7250000000000014,4.6334660551429385,0.8960880245566367,3.9499929366797746,10039.2885,70.25517241379296,10377.4969,9712.102499999999,High,High
5,East,Operator1,2300 MHz,72.89,88.82,2,High,Low Uptime,36.445,11.180000000000009,6.590000000000003,4.302577500800556,2.4997952622817516,3.6228731897013304,6474.0898,6.519677996422177,5312.9521,7888.992399999999,Low,Low
6,Central,Operator2,800 MHz,94.2,92.72,0,Low,Low Uptime,94.2,7.280000000000001,3.640000000000001,4.55597994179732,2.1138429683971682,4.55597994179732,8734.224,12.939560439560438,8873.640000000001,8596.9984,Medium,Medium
7,North,Operator2,2100 MHz,97.31,98.77,1,Low,High Uptime,97.31,1.230000000000004,1.115000000000002,4.588125751378833,0.8020015854720292,4.588125751378833,9611.3087,79.11382113821112,9469.2361,9755.5129,Medium,High
8,West,Operator2,2500 MHz,74.38,89.92,4,High,Low Uptime,18.595,10.079999999999998,7.039999999999999,4.3225419878389895,2.4051416813191375,2.9752744316515947,6688.2496,7.378968253968255,5532.384399999999,8085.606400000001,Low,Low
9,South,Operator2,1800 MHz,108.56,90.74,0,Low,Low Uptime,108.56,9.260000000000003,4.630000000000003,4.696472344394877,2.328252839742624,4.696472344394877,9850.7344,11.723542116630666,11785.2736,8233.747599999999,High,Medium
10,East,Operator3,1800 MHz,82.0,82.81,4,High,Low Uptime,20.5,17.189999999999998,10.595,4.418840607796597,2.9008719925300306,3.068052935133617,6790.42,4.7702152414194305,6724.0,6857.4961,Low,Low
