Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
,,,,,,,,,,,,,,,,,,,,,,,,,
1800,6,2,20,17,,2,1,,0,PORTUGAL,AZORES,,,,1,,,,,,,,,,
1802,1,4,7,,,2,1,,0,CROATIA,BAKAR,45.3,14.4,,3,,3,,,,,,,,
1802,3,19,,,,2,1,,0,ANTIGUA AND BARBUDA,ANTIGUA ISLAND & ST. CHRISTOPHER,17.2,-62.4,,2,,,,,,,,,,
1802,8,10,,,,1,0,,0,UK,SW ENGLAND,,,,2,,,,,,,,,,
1802,8,15,,,,3,1,,0,VENEZUELA,CUMANA,10.3,-64.5,,1,,,,,,,,,,
1802,8,,,,,2,1,,0,INDONESIA,BANDA SEA,-3.7,128.2,,1,1,1.5,,,,,,2,,
1802,11,7,10,45,,3,1,,0,ALGERIA,HARBOUR OF ALGIERS,36.5,2.9,,1,,2,,,,,,3,1100,
1802,12,9,5,,,4,1,6.6,0,JAPAN,NW. HONSHU ISLAND,37.7,138.3,,1,0,,19,,,,,3,1060,
1804,1,8,,,,1,1,,0,GREECE,"PELOPONNESUS, GREECE",38.2,21.8,,0,,,,,,,,,,
1804,1,13,17,45,,4,1,,0,SPAIN,ALBORAN SEA,36.833,-2.833,,2,,2,,,,,,1,,
1804,6,8,3,,,3,1,6.7,0,GREECE,CORINTHOS-PATRAS GULF,38.3,21.8,,1,,3,,,,,,,,
1804,7,10,13,,,4,1,7.3,0,JAPAN,NW. HONSHU ISLAND,39.05,139.95,1,2,0.5,1,450,,,,,4,10810,300
1804,7,31,22,,,2,0,,0,ITALY,BAY OF NAPLES,,,,1,,3,,,,,,,,
1805,1,8,,,,1,0,,0,GREECE,GULF OF PATRAS,,,,0,,,,,,,,,,
1805,5,8,,,,3,0,,0,AUSTRALIA,NORFOLK ISLAND,-29.06,167.95,5,1,,,,,,,,1,1,
1805,7,26,20,57,,4,1,6.6,0,ITALY,CAMPANIA,41.5,14.467,,1,,2,,,,,,,,
1806,3,25,8,,,2,1,,0,USA,"SANTA BARBARA, S. CALIFORNIA",34.4,-119.7,,1,,,,,,,,,,
1806,8,26,13,20,,2,1,,0,ITALY,TERRACINA,41.7,12.7,,1,,2,,,,,,,,
1806,12,1,23,,,3,1,7.5,0,PERU,CENTRAL PERU,-12.1,-77.1,1,1,,0.5,,,,,,1,,
1806,,,,,,2,0,,0,FRENCH POLYNESIA,NUKU HIVA ISLAND,-9,-139,1.5,1,,,,,,,,1,,
1808,4,2,16,43,,2,1,5.7,0,ITALY,ITALIAN COAST,44.833,7.25,0.15,1,,2,2,,,,,1,,
1808,8,8,,,,4,1,6.5,0,JAPAN,"E. AWA, TOKUSHIMA PREFECTURE",33.9,134.8,1.5,1,0.5,0.5,,,,,,,,
1808,12,4,,,,1,0,,0,JAPAN,TOKAIDO,,,,1,,,,,,,,,,
1809,7,3,,,,2,1,,0,ITALY,GULF OF LA SPEZIA,44.8,7.2,,1,,3,,,,,,,,
1809,7,4,,,,1,0,,0,PORTUGAL,PORTUGAL,,,,0,,,,,,,,,,
1809,12,4,,,,1,1,,0,SOUTH AFRICA,CAPE OF GOOD HOPE,-33.88,18.45,,2,,,,,,,,1,,
1809,,,,,,1,1,,0,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,,1,,,,,,,,,,
1810,2,16,,,,0,1,,0,GREECE,CRETE,35.5,25,,2,,,,,,,,,,
1810,8,27,,,,4,3,7.4,0,MEXICO,MEXICO,26,-111.35,,9,,,,,,,,2,,
1810,9,25,,,,4,1,6.6,0,JAPAN,NW. HONSHU ISLAND,39.9,139.9,1,1,1,0,57,,,,,3,1084,
1810,,,,,,2,0,,0,NEW ZEALAND,NEW ZEALAND,,,,0,,,,,,,,,,
1810,,,,,,4,8,,0,NORWAY,NORTHERN NORWAY,69.433,20.15,,0,,6,,,,,,,,
1811,11,19,14,15,,2,1,,0,CHILE,CENTRAL CHILE,-33,-71.4,4,1,2,2,,,,,,,,
1811,12,16,8,15,,0,1,8.5,0,USA,AR: NE -  NEW MADRID EARTHQUAKES,35.6,-90.4,,4,,,,,,,,3,,
1811,12,16,14,15,,0,1,8,0,USA,AR: NE  - NEW MADRID EARTHQUAKES,35.6,-90.4,,1,,,,,,,,,,
1812,1,23,15,0,,0,1,8.4,0,USA,"NEW MADRID, MO",36.3,-89.6,,1,,,,,,,,,,
1812,2,7,9,45,,0,1,8.8,0,USA,"NEW MADRID, MO",36.5,-89.6,,1,,,,,,1,,3,,
1812,3,26,20,7,,2,1,7.7,0,VENEZUELA,LA GUAIRA,10.6,-66.9,,1,,,26000,,,,,3,,
1812,6,23,,,,2,2,,0,FRANCE,MARSEILLES,43.3,5.366,,1,,,,,,,,,,
1812,11,11,10,50,,2,1,,0,JAMAICA,KINGSTON,18,-76.8,,1,,,,,,,,2,,
1812,12,21,19,0,,4,3,7.5,0,USA,S. CALIFORNIA,34.2,-119.9,3.4,4,1.8,1.5,1,,,,,2,,
1812,,,,,,1,0,,0,USA,"SAN FRANCISCO, N. CALIFORNIA",,,,1,,,,,,,,,,
1813,5,17,,,,1,6,,0,ITALY,CAMPANIA,40.817,14.433,,3,,2,,,,,,,,
1813,,,,,,-1,0,,0,USA,HAWAII,,,,1,1,1,,,,,,,,
1814,,,,,,2,1,,0,INDONESIA,TIMOR ISLAND,-10.217,123.633,,1,1,0,,,,,,3,,
1815,4,10,,,,4,6,,1,INDONESIA,TAMBORA,-8.2,118,4,6,2,1.5,60000,,,,,4,,
1815,4,11,,,,1,1,,0,INDONESIA,AMBON ISLAND,-3.7,128.4,,1,,,,,,,,2,,
1815,11,22,,,,3,3,7,0,INDONESIA,BALI SEA,-8,115,,1,1,1.5,11453,,,,,,,
1816,2,2,0,40,,-1,1,7,0,PORTUGAL,LISBON,,,,0,,,,,,,,,,
1816,5,1,,,,2,1,,0,INDONESIA,MALACCA STRAIT,5,96.5,,1,,0,,,,,,,,
1816,12,20,,,,-1,8,,0,JAPAN,"W. IZU PENIN., JAPAN",,,,1,1,1,,,,,,,,
1817,1,1,,,,1,1,,0,GREECE,IONIAN SEA,,,,0,,,,,,,,,,
1817,1,8,,,,0,1,,0,USA,"PHILADELPHIA, PENNSYLVANIA",39.95,-75.1,0.3,1,,,,,,,,,,
1817,1,14,3,30,,1,1,,0,ITALY,SICILY CHANNEL,37.5,13,,1,,3,,,,,,,,
1817,8,23,8,,,3,1,6.8,0,GREECE,CORINTHOS-PATRAS GULF,38.3,22.1,5,2,,3,,,,,,,,
1818,1,,,,,1,1,,0,GREECE,ATHENS,,,,1,,,,,,,,,,
1818,2,20,18,15,,4,1,6,0,ITALY,EASTERN SICILY,37.6,15.133,,1,,3,72,,,,,,,
1818,2,23,18,10,,2,1,5.6,0,ITALY,LIGURIA-COTE D'AZUR,43.917,8.033,,3,,3,,,,,,,,
1818,3,18,,,,3,3,7,0,INDONESIA,"BENGKULU, SUMATRA",-4,101.5,,1,,1.5,,,,,,1,,
1818,11,8,,,,2,1,8.5,0,INDONESIA,BALI SEA,-7,117,3.5,1,,2,,,,,,2,,
1818,12,9,,,,2,1,,0,ITALY,GENOA,44.75,10.4,,1,,3,,,,,,,,
1819,1,8,11,30,,2,1,,0,ITALY,GENOA,43.7,8,,1,,3,,,,,,,,
1819,4,12,3,0,,4,1,8.5,0,CHILE,NORTHERN CHILE,-27,-71.5,4,10,2,2,,,,,,3,,
1819,6,16,,,,3,1,7.7,0,INDIA,KUTCH,23,71,,1,,,1543,,,,,4,1547,
1819,8,31,,,,3,1,5.8,0,NORWAY,NORWAY:  RANA REGION: LUROY,66.416,12.85,,1,,,,,,,,1,,
1819,,,,,,2,6,,0,USA TERRITORY,"ASUNCION ISLAND, N. MARIANA ISLANDS",19.67,145.4,,1,1,1,,,,,,,,
1820,3,1,,,,2,6,,0,USA,"E. ALEUTIAN ISLANDS, AK",54.52,-164.65,,1,,0.5,,,,,,,,
1820,3,17,,,,-1,1,6.6,0,GREECE,ISLAND OF LEVKAS,38.8,20.8,,1,,,,,,,,,,
1820,5,4,,,,4,1,7.6,0,MEXICO,S. MEXICO,17.2,-99.6,4,1,1,1.5,,,,,,3,,
1820,7,23,,,,2,0,,0,ITALY,GENOA,,,,1,,3,,,,,,,,
1820,12,29,,,,2,1,6.9,0,GREECE,ISLAND OF ZAKYNTHOS,37.75,21.25,,1,,3,8,,,,,1,79,
1820,12,29,,,,4,1,7.5,0,INDONESIA,FLORES SEA,-7,119,25,7,4,3.5,500,,,,,2,,
1820,,,,,,3,8,,0,USA,"CAMANO ISLAND, WA",48.06,-122.36,,2,,,,,,,,,,
1820,,,,,,2,1,6.2,0,CONGO,GOLD COAST,-4.5,11.6,,2,,,,,,,,1,,
1821,1,6,,,,4,1,6.5,1,GREECE,IONIAN SEA,37.8,21.3,,1,,,,,,,,,,
1821,4,10,,,,1,0,,0,COSTA RICA,LA MATINA,10.1,-83.3,,1,,,,,,,,,,
1821,5,,,,,2,1,,0,UK TERRITORY,ST HELENA,-15.95,-5.7,,1,,,3,,,,,1,,
1821,9,3,,,,1,9,,0,USA,"ASSATEAGUE ISLAND, VA",38.083,-75.208,,2,,,,,,,,,,
1821,,,,,,-1,0,,0,INDONESIA,FLORES SEA: BIMA,-8.456,118.723,,0,,,,,,,,,,
1822,3,20,,,,1,1,,0,LEBANON,BEIRUT,,,,0,,,,,,,,,,
1822,4,10,,,,1,1,,0,ITALY,CALABRIAN ARC,37.45,14.25,,0,,,,,,,,,,
1822,5,7,,,,3,1,7.6,0,COSTA RICA,MATINA,10.1,-83.3,,3,,,,,,,,2,,
1822,8,13,20,,,2,1,7.1,0,TURKEY,ANTIOCHIA,36,36,,3,,3,8000,,,,,4,,
